Sample ID 1,Sample ID 2,DNA extracts ID
BLOCK  1 STRIP  1 PLOT  1,GOOD,s49
BLOCK  1 STRIP  2 PLOT  1,GOOD,s52
BLOCK  1 STRIP  3 PLOT  1,GOOD,s55
BLOCK  1 STRIP  4 PLOT  1,GOOD,s58
BLOCK  2 STRIP  1 PLOT  3,GOOD,s61
BLOCK  2 STRIP  2 PLOT  1,GOOD,s64
BLOCK  2 STRIP  3 PLOT  3,GOOD,s67
BLOCK  2 STRIP  4 PLOT  1,GOOD,s70
BLOCK  3 STRIP  1 PLOT  1,GOOD,s74
BLOCK  3 STRIP  2 PLOT  3,GOOD,s77
BLOCK  3 STRIP  3 PLOT  1,GOOD,s80
BLOCK  3 STRIP  4 PLOT  3,GOOD,s83
BLOCK  4 STRIP  1 PLOT  3,GOOD,s85
BLOCK  4 STRIP  2 PLOT  2,GOOD,s88
BLOCK  4 STRIP  3 PLOT  3,GOOD,s91
BLOCK  4 STRIP  4 PLOT  2,GOOD,s94
BLOCK  1 STRIP  1 PLOT  1,SALINE ,s1
BLOCK  1 STRIP  2 PLOT  1,SALINE ,s4
BLOCK  1 STRIP  3 PLOT  1,SALINE ,s7
BLOCK  1 STRIP  4 PLOT  1,SALINE ,s10
BLOCK  2 STRIP  1 PLOT  3,SALINE ,s13
BLOCK  2 STRIP  2 PLOT  1,SALINE ,s16
BLOCK  2 STRIP  3 PLOT  3,SALINE ,s19
BLOCK  2 STRIP  4 PLOT  1,SALINE ,s22
BLOCK  3 STRIP  1 PLOT  1,SALINE ,s25
BLOCK  3 STRIP  2 PLOT  3,SALINE ,s28
BLOCK  3 STRIP  3 PLOT  1,SALINE ,s31
BLOCK  3 STRIP  4 PLOT  3,SALINE ,s34
BLOCK  4 STRIP  1 PLOT  3,SALINE ,s37
BLOCK  4 STRIP  2 PLOT  2,SALINE ,s40
BLOCK  4 STRIP  3 PLOT  3,SALINE ,s43
BLOCK  4 STRIP  4 PLOT  2,SALINE ,s46
BLOCK  1 STRIP  1 PLOT  1,GOOD,s50
BLOCK  1 STRIP  2 PLOT  1,GOOD,s53
BLOCK  1 STRIP  3 PLOT  1,GOOD,s56
BLOCK  1 STRIP  4 PLOT  1,GOOD,s59
BLOCK  2 STRIP  1 PLOT  3,GOOD,s62
BLOCK  2 STRIP  2 PLOT  1,GOOD,s65
BLOCK  2 STRIP  3 PLOT  3,GOOD,s68
BLOCK  2 STRIP  4 PLOT  1,GOOD,s71
BLOCK  3 STRIP  1 PLOT  1,GOOD,s76
BLOCK  3 STRIP  2 PLOT  3,GOOD,s78
BLOCK  3 STRIP  3 PLOT  1,GOOD,s81
BLOCK  3 STRIP  4 PLOT  3,GOOD,s84
BLOCK  4 STRIP  1 PLOT  3,GOOD,s86
BLOCK  4 STRIP  2 PLOT  2,GOOD,s89
BLOCK  4 STRIP  3 PLOT  3,GOOD,s92
BLOCK  4 STRIP  4 PLOT  2,GOOD,s95
BLOCK  1 STRIP  1 PLOT  1,SALINE ,s2
BLOCK  1 STRIP  2 PLOT  1,SALINE ,s5
BLOCK  1 STRIP  3 PLOT  1,SALINE ,s8
BLOCK  1 STRIP  4 PLOT  1,SALINE ,s11
BLOCK  2 STRIP  1 PLOT  3,SALINE ,s14
BLOCK  2 STRIP  2 PLOT  1,SALINE ,s17
BLOCK  2 STRIP  3 PLOT  3,SALINE ,s20
BLOCK  2 STRIP  4 PLOT  1,SALINE ,s23
BLOCK  3 STRIP  1 PLOT  1,SALINE ,s26
BLOCK  3 STRIP  2 PLOT  3,SALINE ,s29
BLOCK  3 STRIP  3 PLOT  1,SALINE ,s32
BLOCK  3 STRIP  4 PLOT  3,SALINE ,s35
BLOCK  4 STRIP  1 PLOT  3,SALINE ,s38
BLOCK  4 STRIP  2 PLOT  2,SALINE ,s41
BLOCK  4 STRIP  3 PLOT  3,SALINE ,s44
BLOCK  4 STRIP  4 PLOT  2,SALINE ,s47
