id	Rotation	Yield	shannon
#q2:types	categorical	categorical	numeric
M.T1.R1.S1	CC	High	5.99278856127659
M.T1.R1.S2	CC	High	6.92370701926787
M.T1.R1.S3	CC	High	6.65053467237712
M.T1.R2.S1	CC	High	6.84257597359918
M.T1.R2.S2	CC	High	6.11317024442716
M.T1.R2.S3	CC	High	6.79934112025642
M.T1.R3.S1	CC	High	5.61649550277104
M.T1.R3.S2	CC	High	6.67456546163141
M.T1.R3.S3	CC	High	5.88037930015554
M.T1.R4.S1	CC	High	6.53409577615234
M.T1.R4.S2	CC	High	6.31588815268036
M.T1.R4.S3	CC	High	6.12356474090097
M.T2.R1.S1	CCS	Medium-High	4.70050988548958
M.T2.R1.S2	CCS	Medium-High	6.3933023770452
M.T2.R1.S3	CCS	Medium-High	6.92134103078677
M.T2.R2.S1	CCS	Medium-High	6.63813033727221
M.T2.R2.S2	CCS	Medium-High	6.82126556943839
M.T2.R2.S3	CCS	Medium-High	6.85705792729016
M.T2.R3.S1	CCS	Medium-High	6.90840790588636
M.T2.R3.S2	CCS	Medium-High	6.81208235826793
M.T2.R4.S1	CCS	Medium-High	5.825966049602
M.T2.R4.S2	CCS	Medium-High	6.49504838126266
M.T2.R4.S3	CCS	Medium-High	6.4092925210253
M.T3.R1.S1	CS	Medium-Low	5.14497475990015
M.T3.R1.S2	CS	Medium-Low	7.09648312958224
M.T3.R1.S3	CS	Medium-Low	6.13907245692253
M.T3.R2.S1	CS	Medium-Low	6.38162076238589
M.T3.R2.S2	CS	Medium-Low	6.66621966806083
M.T3.R2.S3	CS	Medium-Low	6.7481979895488
M.T3.R3.S1	CS	Medium-Low	6.95050330756083
M.T3.R3.S2	CS	Medium-Low	6.81856818219247
M.T3.R3.S3	CS	Medium-Low	6.63781289068555
M.T3.R4.S1	CS	Medium-Low	7.00548727380987
M.T3.R4.S2	CS	Medium-Low	6.78840776820433
M.T3.R4.S3	CS	Medium-Low	6.71858364303081
M.T4.R1.S1	SCS	Low	5.49412370817908
M.T4.R1.S2	SCS	Low	6.71266763356656
M.T4.R1.S3	SCS	Low	6.62437548458866
M.T4.R2.S1	SCS	Low	6.97640066636212
M.T4.R2.S2	SCS	Low	6.88683877858029
M.T4.R2.S3	SCS	Low	6.33418843172278
M.T4.R3.S1	SCS	Low	6.84290970573463
M.T4.R3.S2	SCS	Low	5.84654974824299
M.T4.R3.S3	SCS	Low	4.5540296575294
M.T4.R4.S1	SCS	Low	6.78802534514006
M.T4.R4.S2	SCS	Low	6.14521539503198
M.T4.R4.S3	SCS	Low	6.09677824492759
